P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,label
760.9245737451757,-203.88424960694718,525.7236601143092,992.8670043593926,150.1781632748643,-417.7674995016598,-266.2352019575949,348.24915198154565,132.9590592999971,-256.0890476065612,-466.4622679885506,629.423903045595,-87.39072402495421,-63.54766560764855,-103.14260817168231,3
896.639421568858,-457.0536579562774,781.1316874470459,1007.3483291208817,-186.10861505142339,-203.19890627972893,-235.38305688696877,780.1039660488384,64.75479893192029,-329.6059778336648,-776.6063354762092,344.8733821545667,-124.50245337543332,80.73474586519698,-240.8803394299508,3
216.70600096510802,1113.4392001674832,-167.48839938118695,748.2816036834248,339.63329003379715,-360.1104698862161,-123.77211151386084,-136.53045761596778,-215.70082930799398,-68.99386311964052,-0.21492574234199507,509.284493024239,193.76692801154934,-407.30520311122837,-171.99819857498812,3
180.8302944978736,909.1727485844982,97.72477898568872,1141.8234301534285,310.0945755702804,-213.61601900103355,-257.6664181182044,286.98767811968594,-200.38241631827407,-250.77593061538073,-306.3151408775732,510.10442760027126,116.7076657693856,-296.14273349519107,-395.16213345502536,3
367.94598961936794,867.3713374667102,4.6450929694394,882.8949039453921,549.250659425231,-167.26315213571777,-344.000327334551,440.88503015282816,-224.28996376058797,-327.14222871731135,-230.37469306232893,459.9216802495181,117.36994421875143,-399.52599756035687,-438.83656797886294,3
370.33531181085726,1033.6379950632852,-200.6947088227387,75.99922959578647,1241.9203820213786,-378.67981295520923,298.0800502803795,149.6223268921416,38.59764654238495,68.20407395373243,-329.14390479603384,259.57484114353537,5.06563097445808,-426.9230403292182,-294.1669996499509,3
491.61060757848736,787.7444257034393,-178.6677998499812,-100.60245389784812,1368.214078804049,-417.4631557998052,385.69468965328247,206.82443742012384,-146.74121643890294,162.81425012399953,-625.505296270607,97.25786647160488,8.21724888437192,-164.49343849367796,-357.49913447994305,3
-123.97745807581813,484.5490118598835,136.91624474112768,905.211539063255,43.66484541284608,-923.5441326819896,-179.81681508908875,657.4275013179654,285.7422836167356,74.51373460811851,-143.27785395936485,77.28156917477527,12.416191246371783,74.45466644832175,219.8351979447246,4
8.629050322463788,254.95265062211527,-169.91462308483517,250.7853773859313,595.1361832333168,-1371.4626397966913,683.5128665298424,210.42115528459416,137.7226701695594,157.93619915060378,-622.749700071495,-256.21144719807006,-155.44598448306365,339.77222838172855,-241.1961069418174,4
169.0217769078245,97.22819450358308,121.45145577806245,922.6419885946807,-39.92981519107454,-871.0062025687923,-334.0881587173191,892.7622314410941,0.44742127425843986,-267.5850230577601,-366.781484272925,45.97940981379467,-178.57668926028487,113.16508959539914,210.76077872655043,4
